OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU248	Bacteria	Bacteroidetes	Rhodothermia	Balneolales	Balneolaceae		
OTU249	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella	
OTU250	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Rubidimonas	
OTU251	Bacteria	Cyanobacteria	Melainabacteria	Caenarcaniphilales			
OTU252	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9_marine_group		
OTU253	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Cyanobium_PCC-6307	
OTU254	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Lautropia	
OTU255	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	Algoriphagus	
OTU256	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade	
OTU257	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	
OTU258	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae		
OTU259	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	goheungense
OTU260	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI_clade	
OTU261	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae		
OTU262	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
OTU263	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	Candidatus_Planktophila	
OTU264	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI_clade	
OTU265	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales			
OTU266	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
